----------------------------------------------
2016
Sample	  Expected	  Collected	  Difference
----------------------------------------------
                  DY1jetsM10to50_postVFP	  1824652 	  1824652	 0
                   DY1jetsM10to50_preVFP	  1847420 	  1847420	 0
                      DY1jetsM50_postVFP	  31570459 	  31570459	 0
                       DY1jetsM50_preVFP	  31961410 	  31961410	 0
                  DY2jetsM10to50_postVFP	  1650879 	  1650879	 0
                   DY2jetsM10to50_preVFP	  1649281 	  1649281	 0
                      DY2jetsM50_postVFP	  14573456 	  14573456	 0
                       DY2jetsM50_preVFP	  12696373 	  12696373	 0
                  DY3jetsM10to50_postVFP	  2190922 	  2190922	 0
                   DY3jetsM10to50_preVFP	  2124192 	  2124192	 0
                      DY3jetsM50_postVFP	  9553830 	  9553830	 0
                       DY3jetsM50_preVFP	  10285720 	  10285720	 0
                  DY4jetsM10to50_postVFP	  1852229 	  1852229	 0
                   DY4jetsM10to50_preVFP	  1636698 	  1636698	 0
                      DY4jetsM50_postVFP	  4450325 	  4450325	 0
                       DY4jetsM50_preVFP	  4655680 	  4655680	 0
                   DYjetsM10to50_postVFP	  26927726 	  26927726	 0
                    DYjetsM10to50_preVFP	  32305345 	  32305345	 0
                       DYjetsM50_postVFP	  104072004 	  104072004	 0
                        DYjetsM50_preVFP	  95170542 	  95170542	 0
            Data_SingleEle_b_ver1_preVFP	  1422819 	  1422819	 0
            Data_SingleEle_b_ver2_preVFP	  246440440 	  246440440	 0
                 Data_SingleEle_c_preVFP	  97259854 	  97259854	 0
                 Data_SingleEle_d_preVFP	  148167727 	  148167727	 0
                 Data_SingleEle_e_preVFP	  117269446 	  117269446	 0
                Data_SingleEle_f_postVFP	  8858206 	  8858206	 0
                 Data_SingleEle_f_preVFP	  61735326 	  61735326	 0
                Data_SingleEle_g_postVFP	  153363109 	  153363109	 0
                Data_SingleEle_h_postVFP	  129021893 	  129021893	 0
             Data_SingleMu_b_ver1_preVFP	  2789243 	  2789243	 0
             Data_SingleMu_b_ver2_preVFP	  158145722 	  158145722	 0
                  Data_SingleMu_c_preVFP	  67441308 	  67441308	 0
                  Data_SingleMu_d_preVFP	  98017996 	  98017996	 0
                  Data_SingleMu_e_preVFP	  90984718 	  90984718	 0
                 Data_SingleMu_f_postVFP	  8024195 	  8024195	 0
