

-- Schedd: bigbird18.cern.ch : <188.185.71.83:9618?... @ 12/20/21 04:31:10
 ID         OWNER            SUBMITTED     RUN_TIME ST PRI SIZE CMD
2475906.182 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W1jets_postVFP 7 12
2475906.183 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W1jets_postVFP 8 12
2475906.184 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W1jets_postVFP 9 12
2475906.185 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W1jets_postVFP 10 12
2475906.186 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W1jets_postVFP 11 12
2475906.187 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W1jets_postVFP 12 12
2475906.188 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt30to50_Mu_postVFP 1 5
2475906.189 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt30to50_Mu_postVFP 2 5
2475906.190 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt30to50_Mu_postVFP 3 5
2475906.191 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt30to50_Mu_postVFP 4 5
2475906.192 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt30to50_Mu_postVFP 5 5
2475906.193 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HminusM110_preVFP
2475906.194 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_preVFP 1 6
2475906.195 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_preVFP 2 6
2475906.196 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_preVFP 3 6
2475906.197 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_preVFP 4 6
2475906.198 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_preVFP 5 6
2475906.199 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_preVFP 6 6
2475906.200 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HminusM080_preVFP
2475906.201 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HplusM080_postVFP
2475906.202 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_preVFP 1 5
2475906.203 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_preVFP 2 5
2475906.204 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_preVFP 3 5
2475906.205 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_preVFP 4 5
2475906.206 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_mtop1755_preVFP 5 5
2475906.207 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HminusM140_preVFP
2475906.208 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 HminusM130_postVFP
2475906.209 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WZ_preVFP 1 2
2475906.210 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 WZ_preVFP 2 2
2475906.211 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_hdampup_preVFP 1 3
2475906.212 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_hdampup_preVFP 2 3
2475906.213 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Dilepton_hdampup_preVFP 3 3
2475906.214 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt20to30_Mu_preVFP 1 9
2475906.215 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt20to30_Mu_preVFP 2 9
2475906.216 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt20to30_Mu_preVFP 3 9
2475906.217 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt20to30_Mu_preVFP 4 9
2475906.218 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt20to30_Mu_preVFP 5 9
2475906.219 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt20to30_Mu_preVFP 6 9
2475906.220 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt20to30_Mu_preVFP 7 9
2475906.221 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt20to30_Mu_preVFP 8 9
2475906.222 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 QCD_Pt20to30_Mu_preVFP 9 9
2475906.223 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 1 9
2475906.224 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 2 9
2475906.225 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 3 9
2475906.226 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 4 9
2475906.227 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 5 9
2475906.228 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 6 9
2475906.229 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 7 9
2475906.230 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 8 9
2475906.231 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 W4jets_postVFP 9 9
2475906.232 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 1 9
2475906.233 imirza         12/19 10:01   0+00:00:00 I  0    0.0 runMakeSkims.sh 2016 TTbarPowheg_Hadronic_hdampup_postVFP 2 9
